class,alias,section,option,units,default,dependencies
mvMax5.costOffGrid.DieselFuelCostPerYear,og_fl,system (off-grid),diesel fuel cost per year,dollars per year,None,mvMax5.costOffGrid.DieselFuelCostPerLiter;mvMax5.costOffGrid.DieselFuelLitersConsumedPerKilowattHour;mvMax5.costOffGrid.DieselGeneratorActualSystemCapacity;mvMax5.costOffGrid.DieselGeneratorEffectiveHoursOfOperationPerYear
mvMax5.costMiniGrid.GeneratorCostPerRatedKilowatt,mg_dg_ck,system (mini-grid),power generation cost per system kilowatt,dollars per kilowatt,150,
mvMax5.costMiniGrid.GeneratorActualSystemCapacity,mg_dg_acp,system (mini-grid),power generation actual system capacity,kilowatts,None,mvMax5.costMiniGrid.GeneratorAvailableSystemCapacities;mvMax5.costMiniGrid.GeneratorActualSystemCapacityCounts
mvMax5.costMiniGrid.InstallationCostAsFractionOfGenerationCost,mg_ic_fgc,system (mini-grid),power generation installation cost as fraction of generation cost,fraction,0.25,
mvMax5.costDistribution.LowVoltageLineEquipmentCostPerConnection,di_le_cc,distribution,low voltage line equipment cost per connection,dollars per connection,200,
mvMax5.costDistribution.LowVoltageLineLength,di_ll_len,distribution,low voltage line length,meters,None,mvMax5.demographics.MeanInterhouseholdDistance;mvMax5.demand.TargetHouseholdCount
mvMax5.costDistribution.LowVoltageLineCostPerMeter,di_ll_cm,distribution,low voltage line cost per meter,dollars per meter,10,
mvMax5.costMiniGrid.GeneratorOperationsAndMaintenanceCostPerYearAsFractionOfGeneratorCost,mg_dg_omf,system (mini-grid),power generation operations and maintenance cost per year as fraction of generator cost,,0.01,
mvMax5.costMiniGrid.GeneratorLifetime,mg_dg_life,system (mini-grid),power generation system lifetime,years,5,
mvMax5.costMiniGrid.FuelCostPerKilowattHour,mg_fl_cl,system (mini-grid),fuel or storage cost per kWh,dollars per kWh,0.54,
mvMax5.costMiniGrid.PercentOfKilowattHourRequiringFuelOrStorage,mg_fl_lkwh,system (mini-grid),percent of daily load that requires storage or fuel,percent,1.0,
mvMax5.costMiniGrid.DistributionLoss,mg_loss,system (mini-grid),distribution loss,fraction,0.1,
mvMax5.costDistribution.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYearAsFractionOfEquipmentCost,di_le_omf,distribution,low voltage line equipment operations and maintenance cost as fraction of equipment cost,,0.01,
mvMax5.costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYear,di_ll_om,distribution,low voltage line operations and maintenance cost per year,dollars per year,None,mvMax5.costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost;mvMax5.costDistribution.LowVoltageLineCostPerMeter;mvMax5.costDistribution.LowVoltageLineLength
mvMax5.costDistribution.LowVoltageLineReplacementCostPerYear,di_ll_rep,distribution,low voltage line replacement cost per year,dollars per year,None,mvMax5.costDistribution.LowVoltageLineInitialCost;mvMax5.costDistribution.LowVoltageLineLifetime
mvMax5.costGrid.GridInstallationCostPerConnection,gr_i_cc,system (grid),installation cost per connection,dollars per connection,130,
mvMax5.costGrid.GridInternalConnectionCount,gr_ic,system (grid),internal connection count,connection count,None,mvMax5.demand.TargetHouseholdCount;mvMax5.costGrid.GridSocialInfrastructureCount
mvMax5.costGrid.GridTransformerCostPerGridSystemKilowatt,gr_tr_ckw,system (grid),transformer cost per grid system kilowatt,dollars per kilowatt,1000,
mvMax5.costGrid.GridTransformerActualSystemCapacity,gr_tr_acp,system (grid),grid transformer actual system capacity,kilowatts,None,mvMax5.costGrid.GridTransformerAvailableSystemCapacities;mvMax5.costGrid.GridTransformerActualSystemCapacityCounts
mvMax5.costGrid.GridTransformerOperationsAndMaintenanceCostPerYearAsFractionOfTransformerCost,gr_tr_omf,system (grid),transformer operations and maintenance cost per year as fraction of transformer cost,,0.03,
mvMax5.costGrid.GridTransformerLifetime,gr_tr_life,system (grid),transformer lifetime,years,10,
mvMax5.costGrid.GridElectricityCostPerKilowattHour,gr_el_ckwh,system (grid),electricity cost per kilowatt-hour,dollars per kilowatt-hour,0.17,
mvMax5.costGrid.DistributionLoss,gr_loss,system (grid),distribution loss,fraction,0.15,
mvMax5.costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerMeterPerYear,gr_ml_omm,system (grid),medium voltage line operations and maintenace cost per meter per year,dollars per meter per year,None,mvMax5.costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost;mvMax5.costGrid.GridMediumVoltageLineCostPerMeter
mvMax5.costGrid.GridMediumVoltageLineReplacementCostPerMeterPerYear,gr_ml_repm,system (grid),medium voltage line replacement cost per meter per year,dollars per meter per year,None,mvMax5.costGrid.GridMediumVoltageLineCostPerMeter;mvMax5.costGrid.GridMediumVoltageLineLifetime
mvMax5.finance.ElectricityDemandGrowthRatePerYear,dem_g,finance,electricity demand growth rate per year,fraction per year,None,mvMax5.finance.ElasticityOfElectricityDemand;mvMax5.finance.EconomicGrowthRatePerYear
mvMax5.demand.HouseholdDemandCurveType,ho_dc_t,demand (household),demand curve type,,ZeroLogisticLinear,
mvMax5.demand.HouseholdDemandCurvePoints,ho_dc_pts,demand (household),demand curve points (population and multiplier),population and multiplier list,500 1; 1000 1.56; 5000 6.16; 10000 11.5,
mvMax5.demographics.ProjectedPopulationCounts,p_pops,demographics,projected population counts,person count list,None,mvMax5.demographics.PopulationCount;mvMax5.demographics.RuralPopulationGrowthRatePerYear;mvMax5.demographics.UrbanPopulationGrowthRatePerYear;mvMax5.demographics.UrbanPopulationThreshold;mvMax5.finance.TimeHorizon
mvMax5.demand.TargetHouseholdPenetrationRate,tgt_ho_prt,demand (household),target household penetration rate,,1,
mvMax5.demographics.ProjectedHouseholdCount,p_ho,demographics,projected household count,household count,None,mvMax5.demographics.ProjectedPopulationCount;mvMax5.demographics.MeanHouseholdSize
mvMax5.demand.ProductiveDemandCurveType,pr_dc_t,demand (productive),demand curve type,,ZeroLogisticLinear,
mvMax5.demand.ProductiveDemandCurvePoints,pr_dc_pts,demand (productive),demand curve points (population and multiplier),population and multiplier list,500 1; 1000 3.06; 5000 3.57; 10000 5.10,
mvMax5.demand.SocialInfrastructureDemandCurveType,so_dc_t,demand (social infrastructure),demand curve type,,ZeroLogisticLinear,
mvMax5.demand.SocialInfrastructureDemandCurvePoints,so_dc_pts,demand (social infrastructure),demand curve points (population and multiplier),population and multiplier list,500 1; 1000 1.5; 5000 2.25; 10000 3.375,
mvMax5.demand.HealthFacilityCountCurve,he_cc,demand (social infrastructure),health facility count curve,,None,mvMax5.demand.HealthFacilityCountCurveType;mvMax5.demand.HealthFacilityCountCurvePoints
mvMax5.demand.EducationFacilityCountCurve,ed_cc,demand (social infrastructure),education facility count curve,,None,mvMax5.demand.EducationFacilityCountCurveType;mvMax5.demand.EducationFacilityCountCurvePoints
mvMax5.demand.CommercialFacilityCountCurve,co_cc,demand (social infrastructure),commercial facility count curve,,None,mvMax5.demand.CommercialFacilityCountCurveType;mvMax5.demand.CommercialFacilityCountCurvePoints
mvMax5.demand.PublicLightingFacilityCountCurve,li_cc,demand (social infrastructure),public lighting facility count curve,,None,mvMax5.demand.PublicLightingFacilityCountCurveType;mvMax5.demand.PublicLightingFacilityCountCurvePoints
mvMax5.costOffGrid.PhotovoltaicPanelCostPerPhotovoltaicComponentKilowatt,og_pp_ckw,system (off-grid),photovoltaic panel cost per photovoltaic component kilowatt,dollars per kilowatt,6000,
mvMax5.costOffGrid.PhotovoltaicPanelActualSystemCapacity,og_pp_acp,system (off-grid),photovoltaic panel actual capacity,kilowatts,None,mvMax5.costOffGrid.PhotovoltaicPanelAvailableSystemCapacities;mvMax5.costOffGrid.PhotovoltaicPanelActualSystemCapacityCounts
mvMax5.costOffGrid.PhotovoltaicBatteryCostPerKilowattHour,og_pb_ckwh,system (off-grid),photovoltaic battery cost per kilowatt-hour,dollars per kilowatt-hour,400,
mvMax5.costOffGrid.PhotovoltaicBatteryKilowattHoursPerPhotovoltaicComponentKilowatt,og_pb_hkw,system (off-grid),photovoltaic battery kilowatt-hours per photovoltaic component kilowatt,kilowatt-hours per kilowatt,5,
mvMax5.costOffGrid.PhotovoltaicBalanceCostAsFractionOfPanelCost,og_px_cf,system (off-grid),photovoltaic balance cost as fraction of panel cost,,0.5,
mvMax5.costOffGrid.DieselGeneratorCostPerDieselSystemKilowatt,og_dg_ck,system (off-grid),diesel generator cost per diesel system kilowatt,dollars per kilowatt,150,
mvMax5.costOffGrid.DieselGeneratorActualSystemCapacity,og_dg_acp,system (off-grid),diesel generator actual system capacity,kilowatts,None,mvMax5.costOffGrid.DieselGeneratorAvailableSystemCapacities;mvMax5.costOffGrid.DieselGeneratorActualSystemCapacityCounts
mvMax5.costOffGrid.DieselGeneratorInstallationCostAsFractionOfGeneratorCost,og_dg_if,system (off-grid),diesel generator installation cost as fraction of generator cost,,0.25,
mvMax5.costOffGrid.PhotovoltaicPanelLifetime,og_pp_life,system (off-grid),photovoltaic panel lifetime,years,30,
mvMax5.costOffGrid.PhotovoltaicBatteryLifetime,og_pb_life,system (off-grid),photovoltaic battery lifetime,years,3,
mvMax5.costOffGrid.PhotovoltaicBalanceLifetime,og_px_life,system (off-grid),photovoltaic balance lifetime,years,10,
mvMax5.costOffGrid.PhotovoltaicComponentOperationsAndMaintenanceCostPerYearAsFractionOfComponentCost,og_p_omf,system (off-grid),photovoltaic component operations and maintenance cost per year as fraction of component cost,,0.05,
mvMax5.costOffGrid.DieselGeneratorOperationsAndMaintenanceCostPerYearAsFractionOfGeneratorCost,og_dg_omf,system (off-grid),diesel generator operations and maintenance cost per year as fraction of generator cost,,0.01,
mvMax5.costOffGrid.DieselGeneratorLifetime,og_dg_life,system (mini-grid),diesel generator lifetime,years,5,
mvMax5.costOffGrid.DieselFuelCostPerLiter,og_fl_cl,system (off-grid),diesel fuel cost per liter,dollars per liter,1.08,
mvMax5.costOffGrid.DieselFuelLitersConsumedPerKilowattHour,og_fl_lkwh,system (off-grid),diesel fuel liters consumed per kilowatt-hour,liters per kilowatt-hour,0.5,
mvMax5.costOffGrid.DieselGeneratorEffectiveHoursOfOperationPerYear,og_dg_efhr,system (off-grid),diesel generator hours of operation per year (effective),hours per year,None,mvMax5.demand.ProjectedCommercialFacilityDemandPerYear;mvMax5.demand.ProjectedProductiveDemandPerYear;mvMax5.costOffGrid.DieselGeneratorMinimumHoursOfOperationPerYear;mvMax5.costOffGrid.DieselGeneratorActualSystemCapacity
mvMax5.costMiniGrid.GeneratorAvailableSystemCapacities,mg_dg_cps,system (mini-grid),available power generation system capacities(kW),kilowatts list,1000 750 500 400 200 150 100 70 32 19 12 6,
mvMax5.costMiniGrid.GeneratorActualSystemCapacityCounts,mg_dg_acps,system (mini-grid),power generation system actual system capacity counts,capacity count list,None,mvMax5.costMiniGrid.GeneratorDesiredSystemCapacity;mvMax5.costMiniGrid.GeneratorAvailableSystemCapacities
mvMax5.demographics.MeanInterhouseholdDistance,mid,demographics,mean interhousehold distance,meters,25,
mvMax5.costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost,di_ll_omf,distribution,low voltage line operations and maintenance cost per year as fraction of line cost,,0.01,
mvMax5.costDistribution.LowVoltageLineLifetime,di_ll_life,distribution,low voltage line lifetime,years,10,
mvMax5.costGrid.GridSocialInfrastructureCount,gr_so,system (grid),social infrastructure count,facility count,None,mvMax5.demand.ProjectedHealthFacilityCount;mvMax5.demand.ProjectedEducationFacilityCount;mvMax5.demand.ProjectedPublicLightingFacilityCount;mvMax5.demand.ProjectedCommercialFacilityCount
mvMax5.costGrid.GridTransformerAvailableSystemCapacities,gr_tr_cps,system (grid),available system capacities (transformer),kilowatts list,1000 900 800 700 600 500 400 300 200 100 90 80 70 60 50 40 30 20 15 5,
mvMax5.costGrid.GridTransformerActualSystemCapacityCounts,gr_tr_acps,system (grid),grid transformer actual system capacity counts,capacity count list,None,mvMax5.costGrid.GridTransformerDesiredSystemCapacity;mvMax5.costGrid.GridTransformerAvailableSystemCapacities
mvMax5.costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost,gr_ml_omf,system (grid),medium voltage line operations and maintenance cost per year as fraction of line cost,,0.01,
mvMax5.costGrid.GridMediumVoltageLineLifetime,gr_ml_life,system (grid),medium voltage line lifetime,years,30,
mvMax5.finance.ElasticityOfElectricityDemand,elasticity,finance,elasticity of electricity demand,,1.5,
mvMax5.finance.EconomicGrowthRatePerYear,economic_g,finance,economic growth rate per year,fraction per year,0.06,
mvMax5.demographics.PopulationCount,pop,demographics,population count,person count,0,
mvMax5.demographics.RuralPopulationGrowthRatePerYear,pop_g_r,demographics,population growth rate per year (rural),fraction per year,0.015,
mvMax5.demographics.UrbanPopulationGrowthRatePerYear,pop_g_u,demographics,population growth rate per year (urban),fraction per year,0.036,
mvMax5.demographics.UrbanPopulationThreshold,u_pop_thre,demographics,urban population threshold,person count,5000,
mvMax5.demographics.MeanHouseholdSize,ho_size,demographics,mean household size,person count,None,mvMax5.demographics.RuralMeanHouseholdSize;mvMax5.demographics.IsRural;mvMax5.demographics.UrbanMeanHouseholdSize
mvMax5.demand.HealthFacilityCountCurveType,he_cc_t,demand (social infrastructure),health facility count curve type,,ZeroLogisticLinear,
mvMax5.demand.HealthFacilityCountCurvePoints,he_cc_pts,demand (social infrastructure),health facility count curve points (population and facility count),population and facility count list,50 0.16; 500 1.6; 5000 5; 10000 20,
mvMax5.demand.EducationFacilityCountCurveType,ed_cc_t,demand (social infrastructure),education facility count curve type,,ZeroLogisticLinear,
mvMax5.demand.EducationFacilityCountCurvePoints,ed_cc_pts,demand (social infrastructure),education facility count curve points (population and facility count),population and facility count list,50 0.1; 500 1; 5000 3; 10000 15,
mvMax5.demand.CommercialFacilityCountCurveType,co_cc_t,demand (social infrastructure),commercial facility count curve type,,ZeroLogisticLinear,
mvMax5.demand.CommercialFacilityCountCurvePoints,co_cc_pts,demand (social infrastructure),commercial facility count curve points (population and facility count),population and facility count list,50 0.12; 500 1.2; 5000 25; 10000 125,
mvMax5.demand.PublicLightingFacilityCountCurveType,li_cc_t,demand (social infrastructure),public lighting facility count curve type,,ZeroLogisticLinear,
mvMax5.demand.PublicLightingFacilityCountCurvePoints,li_cc_pts,demand (social infrastructure),public lighting facility count curve points (population and facility count),population and facility count list,50 0.1; 500 1; 5000 7; 10000 25,
mvMax5.costOffGrid.PhotovoltaicPanelAvailableSystemCapacities,og_pp_cps,system (off-grid),available system capacities (photovoltaic panel),kilowatts list,1.5 1.0 0.4 0.15 0.075 0.05,
mvMax5.costOffGrid.PhotovoltaicPanelActualSystemCapacityCounts,og_pp_acps,system (off-grid),photovoltaic panel actual capacity counts,capacity count list,None,mvMax5.costOffGrid.PhotovoltaicPanelDesiredSystemCapacity;mvMax5.costOffGrid.PhotovoltaicPanelAvailableSystemCapacities
mvMax5.costOffGrid.DieselGeneratorAvailableSystemCapacities,og_dg_cps,system (off-grid),available system capacities (diesel generator),kilowatts list,1000 750 500 400 200 150 100 70 32 19 12 10 8 6,
mvMax5.costOffGrid.DieselGeneratorActualSystemCapacityCounts,og_dg_acps,system (off-grid),diesel generator actual system capacity counts,capacity count list,None,mvMax5.costOffGrid.DieselGeneratorDesiredSystemCapacity;mvMax5.costOffGrid.DieselGeneratorAvailableSystemCapacities
mvMax5.costOffGrid.DieselGeneratorMinimumHoursOfOperationPerYear,og_dg_mnhr,system (off-grid),diesel generator hours of operation per year (minimum),hours per year,1460,
mvMax5.costMiniGrid.GeneratorDesiredSystemCapacity,mg_dg_dcp,system (mini-grid),power generation desired system capacity,kilowatts,None,mvMax5.demand.ProjectedNodalDemandPerYear;mvMax5.costMiniGrid.GeneratorDaysOfOperationPerYear;mvMax5.costMiniGrid.DistributionLoss;mvMax5.costMiniGrid.CapacityFactor;mvMax5.costMiniGrid.UtilizationFactor
mvMax5.costGrid.GridTransformerDesiredSystemCapacity,gr_tr_dcp,system (grid),grid transformer desired system capacity,kilowatts,None,mvMax5.demand.ProjectedPeakNodalDemand;mvMax5.costGrid.DistributionLoss
mvMax5.demographics.RuralMeanHouseholdSize,ho_size_r,demographics,mean household size (rural),person count,9.6,
mvMax5.demographics.IsRural,rural,demographics,is rural,binary,None,mvMax5.demographics.ProjectedPopulationCount;mvMax5.demographics.UrbanPopulationThreshold
mvMax5.demographics.UrbanMeanHouseholdSize,ho_size_u,demographics,mean household size (urban),person count,7.5,
mvMax5.costOffGrid.PhotovoltaicPanelDesiredSystemCapacity,og_pp_dcp,system (off-grid),photovoltaic panel desired capacity,kilowatts,None,mvMax5.demand.ProjectedHouseholdDemandPerYear;mvMax5.demand.ProjectedHealthFacilityDemandPerYear;mvMax5.demand.ProjectedEducationFacilityDemandPerYear;mvMax5.demand.ProjectedPublicLightingFacilityDemandPerYear;mvMax5.costOffGrid.PhotovoltaicComponentEfficiencyLoss;mvMax5.costOffGrid.PeakSunHoursPerYear
mvMax5.costOffGrid.DieselGeneratorDesiredSystemCapacity,og_dg_dcp,system (off-grid),diesel generator desired system capacity,kilowatts,None,mvMax5.demand.ProjectedPeakCommercialFacilityDemand;mvMax5.demand.ProjectedPeakProductiveDemand
mvMax5.costMiniGrid.GeneratorDaysOfOperationPerYear,mg_g_sh,system (mini-grid),power generation hours of operation per year,hours,365.0,
mvMax5.costMiniGrid.CapacityFactor,mg_dg_mnhr,system (mini-grid),capacity factor of power generation as factor of nameplate output,ratio,1.0,
mvMax5.costMiniGrid.UtilizationFactor,mg_u_fctr,system (mini-grid),utilization factor of power generation as factor of nameplate output,ratio,0.1,
mvMax5.demand.ProjectedPeakNodalDemand,p_pkdem,demand (peak),projected peak nodal demand,kilowatts,None,mvMax5.demand.ProjectedNodalDemandPerYear;mvMax5.demand.DemandToPeakDemandConversionFactor
mvMax5.costOffGrid.PhotovoltaicComponentEfficiencyLoss,og_p_loss,system (off-grid),photovoltaic component efficiency loss,fraction,0.1,
mvMax5.costOffGrid.PeakSunHoursPerYear,pksu_hr,system (off-grid),peak sun hours per year,hours per year,1320,
mvMax5.demand.ProjectedPeakCommercialFacilityDemand,p_pkdem_co,demand (peak),projected peak commercial facility demand,kilowatts,None,mvMax5.demand.ProjectedCommercialFacilityDemandPerYear;mvMax5.demand.DemandToPeakDemandConversionFactor
mvMax5.demand.ProjectedPeakProductiveDemand,p_pkdem_pr,demand (peak),projected peak productive demand,kilowatts,None,mvMax5.demand.ProjectedProductiveDemandPerYear;mvMax5.demand.DemandToPeakDemandConversionFactor
mvMax5.demand.DemandToPeakDemandConversionFactor,dem_pkdemf,demand (peak),demand to peak demand conversion factor,,None,mvMax5.demand.PeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours;mvMax5.demand.PeakElectricalHoursOfOperationPerYear
mvMax5.demand.PeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours,pkdemf,demand (peak),peak demand as fraction of nodal demand occurring during peak hours,,None,mvMax5.demand.RuralPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours;mvMax5.demographics.IsRural;mvMax5.demand.UrbanPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours
mvMax5.demand.PeakElectricalHoursOfOperationPerYear,pkel_hr,demand (peak),peak electrical hours of operation per year,hours per year,1460,
mvMax5.demand.RuralPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours,pkdemf_r,demand (peak),peak demand as fraction of nodal demand occurring during peak hours (rural),,0.4,
mvMax5.demand.UrbanPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours,pkdemf_u,demand (peak),peak demand as fraction of nodal demand occurring during peak hours (urban),,0.4,
